scenario,count,rel_delta_mean,con_delta_mean,comp_delta_mean,unsupported_rate_mean,fake_hit_rate_mean
base,120,0.0,0.0,0.0,0.0009259259259259259,1.0
drop_20,120,-0.02824744805327864,-0.046412037037037036,-0.0004828042328042339,0.0009259259259259259,1.0
drop_40,120,-0.055595152278475626,-0.11452050264550265,0.02153108465608465,0.0009259259259259259,1.0
fake_claims,120,-0.15878744018985402,0.0,-0.2666241628741629,0.0009259259259259259,1.0
no_evidence,120,0.0,0.0,0.0,1.0,1.0
